,algorithm,val_rmse,val_mae,test_rmse,test_mae,training_time
SVD,SVD,0.8274326691899221,0.6443274935959453,0.8399637226155359,0.6548349189977399,12.256253719329834
ALS,ALS,3.575101042994005,3.4147550393375776,3.48851595672003,3.3334655717334916,12.220338582992554
