name,n_factors,n_epochs,lr_all,reg_all,val_rmse,val_mae,training_time
optimized,100,15,0.007,0.02,0.9373750744808308,0.6855464745320067,20.336950540542603
many_epochs,50,20,0.005,0.02,0.9576359584749792,0.6933288400617496,22.787347078323364
more_factors,100,10,0.005,0.02,0.9600807802672597,0.702715466795028,14.240498065948486
more_reg,50,10,0.005,0.05,0.9622828591133002,0.7045539472127006,11.969287395477295
baseline,50,10,0.005,0.02,0.9631433129402922,0.7036137032272256,11.980780839920044
more_epochs,50,15,0.005,0.02,0.9634194390862673,0.7003766342426379,17.214244604110718
less_reg,50,10,0.005,0.01,0.9640014262645252,0.7034311886643241,11.951003789901733
higher_lr,50,10,0.007,0.02,0.9647776712472234,0.7019798036106656,11.90465784072876
many_factors,150,10,0.005,0.02,0.9766097849461457,0.7148868911241031,16.428590059280396
